epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.544,1.61646,1.63334,1.60559,0.881,0.69676,0.85653,0.55859,1.16177,inf,1.38532,0.00028,0.00028,0.00028
2,36.2371,1.19389,0.71115,1.23685,0.76337,0.96549,0.88271,0.57935,1.22897,1.98041,1.43322,0.000568516,0.000568516,0.000568516
3,44.1947,1.16698,0.68877,1.23085,0.84431,0.94458,0.94221,0.63824,1.17663,1.06693,1.3431,0.000845152,0.000845152,0.000845152
4,55.2296,1.11259,0.62889,1.18483,0.89209,0.94801,0.96866,0.68884,1.06571,0.93237,1.24867,0.00110991,0.00110991,0.00110991
5,62.6367,1.07703,0.60461,1.17214,0.89117,0.94911,0.95922,0.67887,1.05488,0.65117,1.2303,0.00136278,0.00136278,0.00136278
6,73.2297,1.06107,0.59195,1.14426,0.91465,0.92994,0.9687,0.66463,1.1281,0.62894,1.26526,0.00160378,0.00160378,0.00160378
7,80.9739,1.01409,0.58259,1.14509,0.80529,0.91948,0.89933,0.60271,1.17189,0.7865,1.29478,0.0017624,0.0017624,0.0017624
8,93.3568,1.03397,0.64689,1.13617,0.86368,0.96305,0.95548,0.66095,1.07181,0.86223,1.24166,0.0017228,0.0017228,0.0017228
9,102.543,1.027,0.60072,1.13688,0.87425,0.95472,0.96115,0.6796,1.04,0.73703,1.22148,0.0016832,0.0016832,0.0016832
10,113.401,0.97225,0.56279,1.10545,0.91858,0.95944,0.975,0.71694,0.95099,0.56276,1.15571,0.0016436,0.0016436,0.0016436
11,121.003,0.95063,0.54444,1.10434,0.93344,0.96301,0.98657,0.72464,0.98921,0.61535,1.18265,0.001604,0.001604,0.001604
12,132.127,0.94308,0.52559,1.07249,0.90667,0.95643,0.9762,0.70862,1.01674,0.65639,1.17796,0.0015644,0.0015644,0.0015644
13,139.59,0.91443,0.51558,1.07064,0.92296,0.96459,0.98011,0.75324,0.87421,0.54918,1.09239,0.0015248,0.0015248,0.0015248
14,150.419,0.91172,0.50221,1.06413,0.90415,0.97983,0.96734,0.72093,0.92002,0.62282,1.137,0.0014852,0.0014852,0.0014852
15,157.896,0.93424,0.50549,1.07743,0.88486,0.97769,0.96489,0.72126,0.93711,0.63204,1.14642,0.0014456,0.0014456,0.0014456
16,168.667,0.88066,0.49275,1.05203,0.93127,0.96619,0.97947,0.7594,0.85916,0.51851,1.08727,0.001406,0.001406,0.001406
17,176.319,0.89052,0.49425,1.0542,0.92133,0.97158,0.97583,0.74897,0.89754,0.54399,1.10672,0.0013664,0.0013664,0.0013664
18,187.257,0.85312,0.48717,1.0502,0.95396,0.97142,0.99061,0.77985,0.84659,0.44465,1.08657,0.0013268,0.0013268,0.0013268
19,195.131,0.79308,0.4562,1.00975,0.96593,0.97843,0.99235,0.80071,0.79283,0.40994,1.04639,0.0012872,0.0012872,0.0012872
20,206.05,0.77223,0.44009,0.99534,0.97264,0.96663,0.99147,0.81414,0.73616,0.41998,1.00973,0.0012476,0.0012476,0.0012476
21,214.372,0.76573,0.4403,0.99785,0.97422,0.97461,0.99182,0.82024,0.71822,0.38944,0.99849,0.001208,0.001208,0.001208
22,227.117,0.7637,0.44464,0.98943,0.97308,0.98048,0.99296,0.82833,0.69205,0.39778,0.98785,0.0011684,0.0011684,0.0011684
23,235.028,0.75333,0.42405,0.98606,0.97631,0.99116,0.99344,0.8408,0.66304,0.36278,0.97059,0.0011288,0.0011288,0.0011288
24,245.929,0.73985,0.42746,0.98377,0.97451,0.97769,0.99037,0.82926,0.66197,0.38221,0.97685,0.0010892,0.0010892,0.0010892
25,253.601,0.71944,0.41083,0.97501,0.97261,0.99,0.99339,0.81833,0.71854,0.3656,0.99438,0.0010496,0.0010496,0.0010496
26,264.406,0.70889,0.40396,0.97193,0.95719,0.98432,0.9829,0.80251,0.74286,0.41096,1.00716,0.00101,0.00101,0.00101
27,272.076,0.72528,0.41572,0.97248,0.9773,0.98571,0.99309,0.85525,0.60019,0.34916,0.94255,0.0009704,0.0009704,0.0009704
28,283.11,0.67932,0.39525,0.96101,0.97902,0.99222,0.99268,0.86662,0.58306,0.33722,0.92121,0.0009308,0.0009308,0.0009308
29,290.967,0.67763,0.40108,0.96735,0.97539,0.98919,0.99279,0.87232,0.55744,0.33668,0.91723,0.0008912,0.0008912,0.0008912
30,301.468,0.66418,0.3985,0.95469,0.97834,0.99187,0.99361,0.8668,0.57265,0.32375,0.92953,0.0008516,0.0008516,0.0008516
31,309.724,0.68034,0.39581,0.95208,0.96695,0.98188,0.99123,0.85235,0.63826,0.36788,0.95666,0.000812,0.000812,0.000812
32,320.031,0.68162,0.38981,0.96172,0.97271,0.99403,0.99096,0.85798,0.59484,0.34889,0.93113,0.0007724,0.0007724,0.0007724
33,327.941,0.65418,0.38079,0.94712,0.98039,0.99373,0.99324,0.87399,0.55331,0.32161,0.91351,0.0007328,0.0007328,0.0007328
34,337.517,0.62121,0.36155,0.91793,0.98746,0.98835,0.99437,0.87573,0.56445,0.32351,0.9176,0.0006932,0.0006932,0.0006932
35,347.115,0.65274,0.37612,0.95604,0.98954,0.98878,0.99477,0.87421,0.58214,0.31578,0.91629,0.0006536,0.0006536,0.0006536
36,357.092,0.6417,0.37145,0.94027,0.99064,0.99566,0.9946,0.8982,0.487,0.28871,0.87765,0.000614,0.000614,0.000614
37,365.001,0.61446,0.35925,0.92368,0.96871,0.98919,0.99008,0.85259,0.63599,0.35189,0.94175,0.0005744,0.0005744,0.0005744
38,375.124,0.63401,0.36823,0.94188,0.97637,0.9938,0.99209,0.89575,0.49952,0.31244,0.89378,0.0005348,0.0005348,0.0005348
39,383.478,0.59604,0.35954,0.91671,0.98569,0.9842,0.9939,0.88995,0.50595,0.29855,0.89198,0.0004952,0.0004952,0.0004952
40,393.135,0.58125,0.35052,0.91033,0.9923,0.98822,0.99468,0.90873,0.46538,0.28367,0.87321,0.0004556,0.0004556,0.0004556
41,405.292,0.60107,0.37418,0.96514,0.98647,0.99024,0.99464,0.8606,0.60825,0.32241,0.93702,0.000416,0.000416,0.000416
42,416.184,0.55158,0.33268,0.92505,0.98348,0.99609,0.9944,0.89416,0.49665,0.29751,0.87747,0.0003764,0.0003764,0.0003764
43,423.21,0.51439,0.32269,0.91435,0.9896,0.99488,0.99398,0.9154,0.43384,0.28316,0.85038,0.0003368,0.0003368,0.0003368
